155,14,205,Đông Triều,thi-xa-dong-trieu,205
156,14,206,Quảng Yên,thi-xa-quang-yen,206
157,14,207,Cô Tô,huyen-co-to,207
158,15,213,Bắc Giang,thanh-pho-bac-giang,213
159,15,215,Yên Thế,huyen-yen-the,215
160,15,216,Tân Yên,huyen-tan-yen,216
161,15,217,Lạng Giang,huyen-lang-giang,217
162,15,218,Lục Nam,huyen-luc-nam,218
163,15,219,Lục Ngạn,huyen-luc-ngan,219
164,15,220,Sơn Động,huyen-son-dong,220
165,15,221,Yên Dũng,huyen-yen-dung,221
166,15,222,Việt Yên,huyen-viet-yen,222
167,15,223,Hiệp Hòa,huyen-hiep-hoa,223
168,16,227,Việt Trì,thanh-pho-viet-tri,227
169,16,228,Phú Thọ,thi-xa-phu-tho,228
170,16,230,Đoan Hùng,huyen-doan-hung,230
171,16,231,Hạ Hoà,huyen-ha-hoa,231
172,16,232,Thanh Ba,huyen-thanh-ba,232
173,16,233,Phù Ninh,huyen-phu-ninh,233
174,16,234,Yên Lập,huyen-yen-lap,234
175,16,235,Cẩm Khê,huyen-cam-khe,235
176,16,236,Tam Nông,huyen-tam-nong,236
177,16,237,Lâm Thao,huyen-lam-thao,237
178,16,238,Thanh Sơn,huyen-thanh-son,238
179,16,239,Thanh Thuỷ,huyen-thanh-thuy,239
180,16,240,Tân Sơn,huyen-tan-son,240
181,17,243,Vĩnh Yên,thanh-pho-vinh-yen,243
182,17,244,Phúc Yên,thanh-pho-phuc-yen,244
183,17,246,Lập Thạch,huyen-lap-thach,246
184,17,247,Tam Dương,huyen-tam-duong,247
185,17,248,Tam Đảo,huyen-tam-dao,248
186,17,249,Bình Xuyên,huyen-binh-xuyen,249
187,17,251,Yên Lạc,huyen-yen-lac,251
188,17,252,Vĩnh Tường,huyen-vinh-tuong,252
189,17,253,Sông Lô,huyen-song-lo,253
190,18,256,Bắc Ninh,thanh-pho-bac-ninh,256
191,18,258,Yên Phong,huyen-yen-phong,258
192,18,259,Quế Võ,huyen-que-vo,259
193,18,260,Tiên Du,huyen-tien-du,260
194,18,261,Từ Sơn,thanh-pho-tu-son,261
195,18,262,Thuận Thành,huyen-thuan-thanh,262
196,18,263,Gia Bình,huyen-gia-binh,263
197,18,264,Lương Tài,huyen-luong-tai,264
198,19,288,Hải Dương,thanh-pho-hai-duong,288
199,19,290,Chí Linh,thanh-pho-chi-linh,290
200,19,291,Nam Sách,huyen-nam-sach,291
id,province_id,code,name,slug,order
201,19,292,Kinh Môn,thi-xa-kinh-mon,292
202,19,293,Kim Thành,huyen-kim-thanh,293
203,19,294,Thanh Hà,huyen-thanh-ha,294
204,19,295,Cẩm Giàng,huyen-cam-giang,295
205,19,296,Bình Giang,huyen-binh-giang,296
206,19,297,Gia Lộc,huyen-gia-loc,297
207,19,298,Tứ Kỳ,huyen-tu-ky,298
208,19,299,Ninh Giang,huyen-ninh-giang,299
209,19,300,Thanh Miện,huyen-thanh-mien,300
210,20,303,Hồng Bàng,quan-hong-bang,303
211,20,304,Ngô Quyền,quan-ngo-quyen,304
212,20,305,Lê Chân,quan-le-chan,305
213,20,306,Hải An,quan-hai-an,306
214,20,307,Kiến An,quan-kien-an,307
215,20,308,Đồ Sơn,quan-do-son,308
216,20,309,Dương Kinh,quan-duong-kinh,309
217,20,311,Thuỷ Nguyên,huyen-thuy-nguyen,311
218,20,312,An Dương,huyen-an-duong,312
219,20,313,An Lão,huyen-an-lao,313
220,20,314,Kiến Thuỵ,huyen-kien-thuy,314
221,20,315,Tiên Lãng,huyen-tien-lang,315
222,20,316,Vĩnh Bảo,huyen-vinh-bao,316
223,20,317,Cát Hải,huyen-cat-hai,317
224,20,318,Bạch Long Vĩ,huyen-bach-long-vi,318
225,21,323,Hưng Yên,thanh-pho-hung-yen,323
226,21,325,Văn Lâm,huyen-van-lam,325
227,21,326,Văn Giang,huyen-van-giang,326
228,21,327,Yên Mỹ,huyen-yen-my,327
229,21,328,Mỹ Hào,thi-xa-my-hao,328
230,21,329,Ân Thi,huyen-an-thi,329
231,21,330,Khoái Châu,huyen-khoai-chau,330
232,21,331,Kim Động,huyen-kim-dong,331
233,21,332,Tiên Lữ,huyen-tien-lu,332
234,21,333,Phù Cừ,huyen-phu-cu,333
235,22,336,Thái Bình,thanh-pho-thai-binh,336
236,22,338,Quỳnh Phụ,huyen-quynh-phu,338
237,22,339,Hưng Hà,huyen-hung-ha,339
238,22,340,Đông Hưng,huyen-dong-hung,340
239,22,341,Thái Thụy,huyen-thai-thuy,341
240,22,342,Tiền Hải,huyen-tien-hai,342
241,22,343,Kiến Xương,huyen-kien-xuong,343
242,22,344,Vũ Thư,huyen-vu-thu,344
243,23,347,Phủ Lý,thanh-pho-phu-ly,347
244,23,349,Duy Tiên,thi-xa-duy-tien,349
245,23,350,Kim Bảng,huyen-kim-bang,350
246,23,351,Thanh Liêm,huyen-thanh-liem,351
247,23,352,Bình Lục,huyen-binh-luc,352
248,23,353,Lý Nhân,huyen-ly-nhan,353
249,24,356,Nam Định,thanh-pho-nam-dinh,356
250,24,358,Mỹ Lộc,huyen-my-loc,358
id,province_id,code,name,slug,order
251,24,359,Vụ Bản,huyen-vu-ban,359
252,24,360,Ý Yên,huyen-y-yen,360
253,24,361,Nghĩa Hưng,huyen-nghia-hung,361
254,24,362,Nam Trực,huyen-nam-truc,362
255,24,363,Trực Ninh,huyen-truc-ninh,363
256,24,364,Xuân Trường,huyen-xuan-truong,364
257,24,365,Giao Thủy,huyen-giao-thuy,365
258,24,366,Hải Hậu,huyen-hai-hau,366
259,25,369,Ninh Bình,thanh-pho-ninh-binh,369
260,25,370,Tam Điệp,thanh-pho-tam-diep,370
261,25,372,Nho Quan,huyen-nho-quan,372
262,25,373,Gia Viễn,huyen-gia-vien,373
263,25,374,Hoa Lư,huyen-hoa-lu,374
264,25,375,Yên Khánh,huyen-yen-khanh,375
265,25,376,Kim Sơn,huyen-kim-son,376
266,25,377,Yên Mô,huyen-yen-mo,377
267,26,380,Thanh Hóa,thanh-pho-thanh-hoa,380
268,26,381,Bỉm Sơn,thi-xa-bim-son,381
269,26,382,Sầm Sơn,thanh-pho-sam-son,382
270,26,384,Mường Lát,huyen-muong-lat,384
271,26,385,Quan Hóa,huyen-quan-hoa,385
272,26,386,Bá Thước,huyen-ba-thuoc,386
273,26,387,Quan Sơn,huyen-quan-son,387
274,26,388,Lang Chánh,huyen-lang-chanh,388
275,26,389,Ngọc Lặc,huyen-ngoc-lac,389
276,26,390,Cẩm Thủy,huyen-cam-thuy,390
277,26,391,Thạch Thành,huyen-thach-thanh,391
278,26,392,Hà Trung,huyen-ha-trung,392
279,26,393,Vĩnh Lộc,huyen-vinh-loc,393
280,26,394,Yên Định,huyen-yen-dinh,394
281,26,395,Thọ Xuân,huyen-tho-xuan,395
282,26,396,Thường Xuân,huyen-thuong-xuan,396
283,26,397,Triệu Sơn,huyen-trieu-son,397
284,26,398,Thiệu Hóa,huyen-thieu-hoa,398
285,26,399,Hoằng Hóa,huyen-hoang-hoa,399
286,26,400,Hậu Lộc,huyen-hau-loc,400
287,26,401,Nga Sơn,huyen-nga-son,401
288,26,402,Như Xuân,huyen-nhu-xuan,402
289,26,403,Như Thanh,huyen-nhu-thanh,403
290,26,404,Nông Cống,huyen-nong-cong,404
291,26,405,Đông Sơn,huyen-dong-son,405
292,26,406,Quảng Xương,huyen-quang-xuong,406
293,26,407,Nghi Sơn,thi-xa-nghi-son,407
294,27,412,Vinh,thanh-pho-vinh,412
295,27,413,Cửa Lò,thi-xa-cua-lo,413
296,27,414,Thái Hoà,thi-xa-thai-hoa,414
297,27,415,Quế Phong,huyen-que-phong,415
298,27,416,Quỳ Châu,huyen-quy-chau,416
299,27,417,Kỳ Sơn,huyen-ky-son,417
300,27,418,Tương Dương,huyen-tuong-duong,418
id,province_id,code,name,slug,order
301,27,419,Nghĩa Đàn,huyen-nghia-dan,419
302,27,420,Quỳ Hợp,huyen-quy-hop,420
303,27,421,Quỳnh Lưu,huyen-quynh-luu,421
304,27,422,Con Cuông,huyen-con-cuong,422
305,27,423,Tân Kỳ,huyen-tan-ky,423
306,27,424,Anh Sơn,huyen-anh-son,424
307,27,425,Diễn Châu,huyen-dien-chau,425
308,27,426,Yên Thành,huyen-yen-thanh,426
